date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
06:16:32	36040/36040	---M--	200	added ('OK')	text/html	date:Mon,%2023%20Mar%202020%2000:57:24%20GMT	https://themes.startbootstrap.com/sb-admin-pro/dashboard-3.html	C:/My%20Web%20Sites/thamplate%20dokter/themes.startbootstrap.com/sb-admin-pro/dashboard-3.html	(from )
06:16:33	315/315	---M--	404	error ('Not%20Found')	text/html	date:Thu,%2014%20May%202020%2023:16:36%20GMT	https://themes.startbootstrap.com/robots.txt		(from )
06:16:34	1137284/1137284	---MCZ	200	added ('OK')	application/javascript	etag:W/%225d8920fb-115a84%22	https://cdnjs.cloudflare.com/ajax/libs/font-awesome/5.11.2/js/all.min.js	C:/My%20Web%20Sites/thamplate%20dokter/cdnjs.cloudflare.com/ajax/libs/font-awesome/5.11.2/js/all.min.js	(from https://themes.startbootstrap.com/sb-admin-pro/dashboard-3.html)
06:16:34	24796/24796	---M--	200	added ('OK')	image/png	date:Mon,%2023%20Mar%202020%2000:57:15%20GMT	https://themes.startbootstrap.com/sb-admin-pro/assets/img/favicon.png	C:/My%20Web%20Sites/thamplate%20dokter/themes.startbootstrap.com/sb-admin-pro/assets/img/favicon.png	(from https://themes.startbootstrap.com/sb-admin-pro/dashboard-3.html)
06:16:34	72489/72489	---MCZ	200	added ('OK')	application/javascript	etag:W/%225d5e2c15-11b29%22	https://cdnjs.cloudflare.com/ajax/libs/feather-icons/4.24.1/feather.min.js	C:/My%20Web%20Sites/thamplate%20dokter/cdnjs.cloudflare.com/ajax/libs/feather-icons/4.24.1/feather.min.js	(from https://themes.startbootstrap.com/sb-admin-pro/dashboard-3.html)
06:16:35	417089/417089	---M--	200	added ('OK')	text/css	date:Mon,%2023%20Mar%202020%2000:57:37%20GMT	https://themes.startbootstrap.com/sb-admin-pro/css/styles.css	C:/My%20Web%20Sites/thamplate%20dokter/themes.startbootstrap.com/sb-admin-pro/css/styles.css	(from https://themes.startbootstrap.com/sb-admin-pro/dashboard-3.html)
06:16:35	88835/88835	---M--	200	added ('OK')	text/html	date:Mon,%2023%20Mar%202020%2000:57:28%20GMT	https://themes.startbootstrap.com/sb-admin-pro/index.html	C:/My%20Web%20Sites/thamplate%20dokter/themes.startbootstrap.com/sb-admin-pro/index.html	(from https://themes.startbootstrap.com/sb-admin-pro/dashboard-3.html)
06:16:36	26230/26230	---M--	200	added ('OK')	text/html	date:Mon,%2023%20Mar%202020%2000:57:30%20GMT	https://themes.startbootstrap.com/sb-admin-pro/layout-static.html	C:/My%20Web%20Sites/thamplate%20dokter/themes.startbootstrap.com/sb-admin-pro/layout-static.html	(from https://themes.startbootstrap.com/sb-admin-pro/dashboard-3.html)
06:16:36	41151/41151	---M--	200	added ('OK')	text/html	date:Mon,%2023%20Mar%202020%2000:57:24%20GMT	https://themes.startbootstrap.com/sb-admin-pro/dashboard-2.html	C:/My%20Web%20Sites/thamplate%20dokter/themes.startbootstrap.com/sb-admin-pro/dashboard-2.html	(from https://themes.startbootstrap.com/sb-admin-pro/dashboard-3.html)
06:16:36	25888/25888	---M--	200	added ('OK')	text/html	date:Mon,%2023%20Mar%202020%2000:57:29%20GMT	https://themes.startbootstrap.com/sb-admin-pro/layout-dark.html	C:/My%20Web%20Sites/thamplate%20dokter/themes.startbootstrap.com/sb-admin-pro/layout-dark.html	(from https://themes.startbootstrap.com/sb-admin-pro/dashboard-3.html)
